w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
w,p,p,p,p,p,p,p,p,p,p,w,p,p,p,p,p,p,p,p,p,p,w
w,p,w,w,w,p,w,w,w,w,p,w,p,w,w,w,w,p,w,w,w,p,w
w,e,w,w,w,p,w,w,w,w,p,w,p,w,w,w,w,p,w,w,w,e,w
w,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,w
w,p,w,w,w,p,w,p,w,w,w,w,w,w,w,p,w,p,w,w,w,p,w
w,p,p,p,p,p,w,p,p,p,p,w,p,p,p,p,w,p,p,p,p,p,w
w,w,w,w,w,p,w,w,w,w,m,w,m,w,w,w,w,p,w,w,w,w,w
w,p,p,p,p,p,w,m,m,m,m,1,m,m,m,m,w,p,p,p,p,p,w
w,p,w,w,w,p,w,m,w,w,w,w,w,w,w,m,w,p,w,w,w,p,w
w,p,w,w,w,p,w,m,w,x,2,3,4,x,w,m,w,p,w,w,w,p,w
w,p,w,w,w,p,m,m,w,x,x,x,x,x,w,m,m,p,w,w,w,p,w
w,p,w,w,w,p,w,m,w,w,w,w,w,w,w,m,w,p,w,w,w,p,w
w,p,p,p,p,p,w,m,m,m,m,m,m,m,m,m,w,p,p,p,p,p,w
w,w,w,w,w,p,w,m,w,w,w,w,w,w,w,m,w,p,w,w,w,w,w
w,p,p,p,p,p,p,p,p,p,p,w,p,p,p,p,p,p,p,p,p,p,w
w,p,w,w,w,p,w,w,w,w,p,w,p,w,w,w,w,p,w,w,w,p,w
w,e,p,p,w,p,p,p,p,p,p,P,p,p,p,p,p,p,w,p,p,e,w
w,w,w,p,w,p,w,p,w,w,w,w,w,w,w,p,w,p,w,p,w,w,w
w,p,p,p,p,p,w,p,p,p,p,w,p,p,p,p,w,p,p,p,p,p,w
w,p,w,w,w,w,w,w,w,w,p,w,p,w,w,w,w,w,w,w,w,p,w
w,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,w
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
